Sample	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
SRR6954498.assembled	90.13	71.70201438386681	40.0	100.89338866444753	27.27272727272727	18846298.0	
SRR6954498.assembled.bx							32.42999300700609
SRR6954498.unassembled	46.1						
SRR6954498.unassembled_1		21.809982197522032	33.0	48.941737231105	45.45454545454545	29459362.0	
SRR6954498.unassembled_2		50.17588288726868	49.0	149.95847001031456	27.27272727272727	29459362.0	
SRR6954498.unassembled_2.bx							18.966261656104514
SRR6954498_1		83.50573622986518	32.0	150.0	54.54545454545454	110570912.0	
SRR6954498_2		74.8745851821705	44.0	150.0	27.27272727272727	110570912.0	
SRR6954499.assembled	89.86	74.04507007402624	43.0	94.4229276200925	36.36363636363637	1715407.0	
SRR6954499.assembled.bx							35.38970813792529
SRR6954499.unassembled	50.95						
SRR6954499.unassembled_1		20.984233115103876	39.0	51.68367506223419	54.54545454545454	1460612.0	
SRR6954499.unassembled_2		65.06179625949127	46.0	150.95687287246716	36.36363636363637	1460612.0	
SRR6954499.unassembled_2.bx							18.093925555954634
SRR6954499_1		68.69536390521128	34.0	151.0	54.54545454545454	39426956.0	
SRR6954499_2		69.499975364792	42.0	151.0	45.45454545454545	39426956.0	
SRR6954500.assembled	90.51	75.76535295291384	43.0	94.67765621919969	45.45454545454545	2191536.0	
SRR6954500.assembled.bx							34.959419568000335
SRR6954500.unassembled	51.14						
SRR6954500.unassembled_1		22.446568583836864	39.0	51.12352043375706	63.63636363636363	1873860.0	
SRR6954500.unassembled_2		66.89361657433588	46.0	150.95728923185297	36.36363636363637	1873860.0	
SRR6954500.unassembled_2.bx							18.320984363556818
SRR6954500_1		68.70200285272682	34.0	151.0	54.54545454545454	41227245.0	
SRR6954500_2		70.73661926366321	42.0	151.0	45.45454545454545	41227245.0	
SRR6954501.assembled	88.81	71.16913317638542	43.0	101.32697157470545	36.36363636363637	5273437.0	
SRR6954501.assembled.bx							29.772297188166654
SRR6954501.unassembled	50.68						
SRR6954501.unassembled_1		21.59820734703993	37.0	56.56610717956056	45.45454545454545	6149680.0	
SRR6954501.unassembled_2		62.120434507570806	50.0	150.96890147129608	36.36363636363637	6149680.0	
SRR6954501.unassembled_2.bx							16.12104588514754
SRR6954501_1		72.2662482383626	35.0	151.0	54.54545454545454	52280543.0	
SRR6954501_2		64.22246820350371	45.0	151.0	36.36363636363637	52280543.0	
SRR6954502.assembled	89.72	63.98625288744789	42.0	100.03132605240313	45.45454545454545	1757834.0	
SRR6954502.assembled.bx							30.79439239333989
SRR6954502.unassembled	52.23						
SRR6954502.unassembled_1		17.963096070097095	38.0	57.94406986873989	54.54545454545454	2185584.0	
SRR6954502.unassembled_2		57.72215699567425	50.0	150.96910070717942	36.36363636363637	2185584.0	
